CountryCode,CountryName,Region,FertilityRate.1960,LifeExp.1960,FertilityRate.2013,LifeExp.2013
NPL,Nepal,Asia,5.959,35.17082927,2.292,69.222
NZL,New Zealand,Oceania,4.129,71.23658537,1.95,81.40731707
OMN,Oman,Middle East,7.247,42.66707317,2.823,76.84104878
PAK,Pakistan,Asia,6.6,45.29046341,3.682,65.96368293
PAN,Panama,The Americas,5.87,60.88170732,2.465,77.41921951
PER,Peru,The Americas,6.971,47.69158537,2.48,74.28385366
PHL,Philippines,Asia,7.148,57.81192683,3.011,68.13156098
PNG,Papua New Guinea,Oceania,6.275,38.4622439,3.812,62.44917073
POL,Poland,Europe,2.98,67.6804878,1.3,76.84878049
PRI,Puerto Rico,The Americas,4.657,68.71960976,1.636,78.71119512
PRT,Portugal,Europe,3.16,62.80892683,1.28,80.37317073
PRY,Paraguay,The Americas,6.5,63.79370732,2.581,72.79917073
PYF,French Polynesia,Oceania,5.658,56.35704878,2.059,76.33407317
QAT,Qatar,Middle East,6.971,61.20607317,2.043,78.4184878
ROU,Romania,Europe,2.34,65.64243902,1.53,74.46341463
RUS,Russian Federation,Europe,2.52,66.05529268,1.7,71.07317073
RWA,Rwanda,Africa,8.187,42.24929268,4.012,63.39482927
SAU,Saudi Arabia,Middle East,7.216,45.66626829,2.818,74.17763415
SDN,Sudan,Africa,6.691,48.18763415,4.421,63.16704878
SEN,Senegal,Africa,6.951,38.206,5.134,65.8787561
SGP,Singapore,Asia,5.454,65.65982927,1.19,82.34634146
SLB,Solomon Islands,Oceania,6.388,49.38170732,4.031,67.71892683
SLE,Sierra Leone,Africa,5.97,30.33153659,4.746,50.36312195
SLV,El Salvador,The Americas,6.674,49.94792683,1.958,72.49814634
SOM,Somalia,Africa,7.25,36.96587805,6.565,55.02302439
SSD,South Sudan,Africa,6.721,31.67670732,5.108,55.22090244
STP,Sao Tome and Principe,Africa,6.242,50.45136585,4.634,66.2595122
SUR,Suriname,The Americas,6.608,59.68012195,2.386,70.99
SVK,Slovak Republic,Europe,3.04,69.97592683,1.34,76.26097561
SVN,Slovenia,Europe,2.324,68.97804878,1.58,80.27804878
SWE,Sweden,Europe,2.17,73.00560976,1.91,81.70487805
SWZ,Swaziland,Africa,6.717,44.23378049,3.334,48.93792683
SYR,Syrian Arab Republic,Middle East,7.467,52.7682439,2.964,74.71578049
TCD,Chad,Africa,6.25,38.01612195,6.264,51.1914878
TGO,Togo,Africa,6.521,40.27282927,4.655,59.13236585
THA,Thailand,Asia,6.147,54.69931707,1.524,74.24692683
TJK,Tajikistan,Asia,6.235,56.15353659,3.514,69.40017073
TKM,Turkmenistan,Asia,6.415,54.45868293,2.326,65.45656098
TLS,Timor-Leste,Asia,6.373,33.72712195,5.2,67.52236585
TON,Tonga,Oceania,7.363,61.36453659,3.768,72.64034146
TTO,Trinidad and Tobago,The Americas,5.264,62.65758537,1.789,70.30529268
TUN,Tunisia,Africa,7.043,42.0097561,2.25,73.64634146
TUR,Turkey,Europe,6.303,45.38441463,2.041,75.17595122
TZA,Tanzania,Africa,6.806,43.65387805,5.215,64.29182927
UGA,Uganda,Africa,6.999,43.98356098,5.869,57.76768293
UKR,Ukraine,Europe,2.24,68.29953659,1.506,71.1595122
URY,Uruguay,The Americas,2.88,67.89639024,2.033,76.83619512
USA,United States,The Americas,3.654,69.77073171,1.8695,78.84146341
UZB,Uzbekistan,Asia,6.707,58.88553659,2.2,68.22758537
VCT,St. Vincent and the Grenadines,The Americas,7.224,57.72387805,1.997,72.81087805
VEN,"Venezuela, RB",The Americas,6.616,59.28512195,2.391,74.07441463
VIR,Virgin Islands (U.S.),The Americas,5.615,63.73021951,1.77,79.62439024
VNM,Vietnam,Asia,6.348,59.06702439,1.743,75.7564878
VUT,Vanuatu,Oceania,7.197,46.4874878,3.383,71.6692439
WSM,Samoa,Oceania,7.651,49.9695122,4.147,73.25039024
YEM,"Yemen, Rep.",Middle East,7.38,34.36380488,4.284,63.5835122
ZAF,South Africa,Africa,6.173,49.03629268,2.387,56.73658537
ZMB,Zambia,Africa,7.018,45.10980488,5.429,59.23736585
ZWE,Zimbabwe,Africa,7.158,51.54246341,3.977,55.633
